Cluster Label,Cluster Name,Dominant Group,Dominant Color,All Enriched,N Enriched,Best padj,Pinniped %,Cetacean %,Hippo %,Carnivore %
26,Receptor Alpha,,#666677,,0,1.0,28.5,42.5,14.7,14.3
27,Kinase Catalytic,,#666677,,0,1.0,28.8,42.1,16.6,12.5
28,Beta Defensin,,#666677,,0,1.0,31.0,39.2,15.4,14.4
29,Phosphorylase Kinase,,#666677,,0,1.0,26.3,46.5,15.7,11.5
30,Transmembrane Protease,,#666677,,0,1.0,32.2,38.6,14.0,15.2
31,Charged Multivesicular,,#666677,,0,1.0,27.3,43.2,16.2,13.2
32,Phospholipid Phosphatase,,#666677,,0,1.0,28.3,43.6,14.4,13.7
33,Glutamate Receptor,,#666677,,0,1.0,30.3,41.5,13.3,14.9
34,Bone Morphogenetic,,#666677,,0,1.0,27.4,43.1,14.5,15.0
35,Coiled Coil,,#666677,,0,1.0,29.3,42.5,14.0,14.2
36,Transcription Factor,,#666677,,0,1.0,29.1,41.9,14.4,14.7
37,Coenzyme Thioesterase,,#666677,,0,1.0,29.3,41.8,14.7,14.2
38,Lysine Methyltransferase,,#666677,,0,1.0,29.3,42.2,14.3,14.2
39,Factor Receptor,,#666677,,0,1.0,28.6,43.1,14.0,14.3
40,Voltage Gated,,#666677,,0,1.0,29.8,41.9,13.7,14.5
41,Repeat Containing,,#666677,,0,1.0,29.1,40.9,15.0,15.1
42,Vesicle Associated,,#666677,,0,1.0,30.7,40.5,14.8,14.0
43,Regulator Signaling,,#666677,,0,1.0,34.3,38.0,14.9,12.9
44,Solute Carrier,,#666677,,0,1.0,29.2,41.3,14.6,14.8
45,Gamma Crystallin,,#666677,,0,1.0,30.0,42.6,14.0,13.4
46,Heterogeneous Nuclear,,#666677,,0,1.0,31.4,41.1,13.8,13.7
47,Growth Factor,,#666677,,0,1.0,28.9,41.5,15.6,14.0
48,Ubiquitin Ligase,,#666677,,0,1.0,29.0,42.8,14.5,13.6
49,Protocadherin Beta,,#666677,,0,1.0,24.3,44.6,15.2,15.8
50,Melanoma Associated,,#666677,,0,1.0,31.5,43.2,10.4,14.9
51,Glutathione Transferase,,#666677,,0,1.0,31.2,42.1,13.6,13.1
52,Nadh Dehydrogenase,,#666677,,0,1.0,33.6,40.6,13.1,12.7
53,Tetratricopeptide Repeat,,#666677,,0,1.0,29.3,41.9,14.4,14.4
