Cluster Label,Cluster Name,Top OG,Top OG Description,Top padj,N Enriched OGs,All OGs
45,Gamma Crystallin,452544at40674,receptor-type tyrosine-protein,1.1669108331182828e-35,33,452544at40674;387222at40674;450981at40674;452837at40674;452698at40674;453913at40674;453752at40674;287237at40674;396457at40674;394396at40674
46,Heterogeneous Nuclear,210619at40674,Cadherin,3.7285815366894365e-26,95,210619at40674;374034at40674;319699at40674;215789at40674;63313at40674;462045at40674;451269at40674;467302at40674;215260at40674;203237at40674
47,Growth Factor,461250at40674,somatomedin-B and thrombospondin type-1 domain-containing protein,1.0170219989466896e-17,121,461250at40674;312927at40674;466399at40674;137892at40674;182569at40674;182739at40674;1521at40674;146469at40674;194946at40674;200250at40674
48,Ubiquitin Ligase,211629at40674,NANOG,7.764267784664553e-19,149,211629at40674;373200at40674;315177at40674;394708at40674;402799at40674;429393at40674;466522at40674;131238at40674;235003at40674;268714at40674
49,Protocadherin Beta,461779at40674,RNA-binding protein 4,1.769591927848015e-26,21,461779at40674;458754at40674;373894at40674;127360at40674;313572at40674;204509at40674;211373at40674;256061at40674;342607at40674;342231at40674
50,Melanoma Associated,454997at40674,vesicle transport protein,1.0449239665563117e-35,21,454997at40674;300168at40674;135513at40674;187210at40674;355644at40674;355192at40674;367930at40674;292082at40674;412352at40674;410372at40674
51,Glutathione Transferase,461062at40674,Proteasome subunit alpha type-7,1.7019392133783387e-35,20,461062at40674;182701at40674;459566at40674;456210at40674;453350at40674;382764at40674;387561at40674;196855at40674;459217at40674;458936at40674
52,Nadh Dehydrogenase,460431at40674,transcription elongation factor a,9.189733591634625e-31,60,460431at40674;73592at40674;382500at40674;196426at40674;329913at40674;466688at40674;232129at40674;104826at40674;75656at40674;451456at40674
53,Tetratricopeptide Repeat,452703at40674,tripartite motif-containing protein,6.534378607260444e-28,128,452703at40674;458985at40674;373582at40674;457905at40674;466323at40674;461817at40674;466007at40674;105005at40674;212119at40674;212211at40674
54,Toll Receptor,325473at40674,Ubiquitin-fold modifier 1,9.942496599667066e-18,65,325473at40674;127055at40674;163868at40674;163682at40674;229222at40674;218161at40674;248969at40674;21603at40674;286129at40674;423392at40674
55,Kinase Kinase,456761at40674,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",9.687450627655172e-26,185,456761at40674;462644at40674;463452at40674;469850at40674;464697at40674;34027at40674;282584at40674;164331at40674;197946at40674;198639at40674
56,Dna Helicase,462895at40674,serine protease HTRA3,2.9075631623048102e-27,142,462895at40674;354331at40674;17448at40674;120635at40674;198566at40674;202622at40674;205512at40674;135601at40674;249506at40674;249735at40674
57,Ras Rab,465568at40674,nf-kappa-b inhibitor-interacting ras-like protein,2.4643119085931145e-32,88,465568at40674;231141at40674;453492at40674;121383at40674;464450at40674;388110at40674;393835at40674;452624at40674;451989at40674;197778at40674
58,Calcitonin Receptor,347442at40674,hippocampus abundant transcript 1 protein,1.3048767160739708e-32,64,347442at40674;214185at40674;425315at40674;206303at40674;211095at40674;329901at40674;215744at40674;15689at40674;365453at40674;348756at40674
59,Gtp Binding,253887at40674,pyruvate dehydrogenase e1 component subunit,9.849274320238628e-24,50,253887at40674;388540at40674;412880at40674;455256at40674;271434at40674;423637at40674;198181at40674;231405at40674;278030at40674;28207at40674
60,Non Histone,451106at40674,cyclin-dependent kinases regulatory,2.9222825064012325e-25,17,451106at40674;418115at40674;193929at40674;199023at40674;329278at40674;205448at40674;453427at40674;452478at40674;459896at40674;462628at40674
61,Guanine Nucleotide,459151at40674,t-complex protein 1 subunit zeta,9.285013803386229e-33,18,459151at40674;451440at40674;451463at40674;397245at40674;457123at40674;456998at40674;394572at40674;197698at40674;451110at40674;387565at40674
